date,open,high,low,close,volume
2020-01-02,2.65,2.67,2.63,2.66,26892847.0
2020-01-03,2.68,2.7,2.65,2.66,23120278.0
2020-01-06,2.65,2.75,2.62,2.73,47873118.0
2020-01-07,2.74,2.76,2.69,2.73,25063825.0
2020-01-08,2.72,2.78,2.62,2.66,31257244.0
2020-01-09,2.68,2.71,2.67,2.68,19598473.0
2020-01-10,2.69,2.69,2.64,2.66,17964101.0
2020-01-13,2.64,2.69,2.63,2.67,14804350.0
2020-01-14,2.67,2.72,2.66,2.68,18655303.0
2020-01-15,2.69,2.69,2.61,2.62,15784201.0
2020-01-16,2.69,2.73,2.63,2.65,20897464.0
2020-01-17,2.63,2.66,2.62,2.63,12027500.0
2020-01-20,2.62,2.66,2.6,2.65,11321206.0
2020-01-21,2.62,2.64,2.57,2.58,14812577.0
2020-01-22,2.57,2.6,2.52,2.57,10121175.0
2020-01-23,2.55,2.55,2.44,2.49,20846524.0
2020-02-03,2.24,2.24,2.24,2.24,2839800.0
2020-02-04,2.02,2.2,2.02,2.17,27513260.0
2020-02-05,2.17,2.26,2.15,2.23,18243774.0
2020-02-06,2.24,2.26,2.2,2.25,16068764.0
2020-02-07,2.22,2.25,2.21,2.24,13688601.0
2020-02-10,2.23,2.29,2.22,2.28,18547910.0
2020-02-11,2.28,2.34,2.26,2.29,20198150.0
2020-02-12,2.27,2.37,2.26,2.37,24373790.0
2020-02-13,2.37,2.41,2.33,2.35,19453201.0
2020-02-14,2.34,2.46,2.31,2.4,26990056.0
2020-02-17,2.39,2.46,2.38,2.45,21694447.0
2020-02-18,2.44,2.48,2.41,2.46,19134378.0
2020-02-19,2.44,2.62,2.43,2.5,31300224.0
2020-02-20,2.48,2.52,2.45,2.51,23370479.0
2020-02-21,2.49,2.61,2.49,2.57,34589864.0
2020-02-24,2.58,2.65,2.53,2.6,30188192.0
2020-02-25,2.53,2.56,2.41,2.56,37402798.0
2020-02-26,2.5,2.67,2.48,2.57,46798879.0
2020-02-27,2.58,2.61,2.5,2.51,41820501.0
2020-02-28,2.39,2.49,2.36,2.37,39147335.0
2020-03-02,2.37,2.47,2.37,2.45,22438930.0
2020-03-03,2.49,2.52,2.44,2.47,21239674.0
2020-03-04,2.45,2.54,2.44,2.54,25588581.0
2020-03-05,2.58,2.64,2.55,2.62,43172507.0
2020-03-06,2.58,2.68,2.56,2.65,47800092.0
2020-03-09,2.64,2.65,2.51,2.52,38861000.0
2020-03-10,2.48,2.57,2.43,2.56,32639535.0
2020-03-11,2.56,2.65,2.51,2.52,29658535.0
2020-03-12,2.48,2.61,2.45,2.54,31718354.0
2020-03-13,2.4,2.51,2.36,2.47,28285258.0
2020-03-16,2.5,2.54,2.37,2.37,25903004.0
