datetime,symbol,date,time,period,open,high,low,close,volume,amount
2025-01-02 09:45:00,601187,2025-01-02,09:45:00,15,5.67,5.71,5.64,5.67,3750300,21264212.0
2025-01-02 10:00:00,601187,2025-01-02,10:00:00,15,5.67,5.69,5.63,5.67,1824200,10325798.0
2025-01-02 10:15:00,601187,2025-01-02,10:15:00,15,5.66,5.67,5.61,5.61,1315800,7422070.0
2025-01-02 10:30:00,601187,2025-01-02,10:30:00,15,5.61,5.61,5.57,5.59,2692400,15040568.0
2025-01-02 10:45:00,601187,2025-01-02,10:45:00,15,5.59,5.62,5.59,5.6,669900,3751592.0
2025-01-02 11:00:00,601187,2025-01-02,11:00:00,15,5.59,5.63,5.58,5.63,1473000,8248560.0
2025-01-02 11:15:00,601187,2025-01-02,11:15:00,15,5.62,5.62,5.6,5.6,406100,2277704.0
2025-01-02 11:30:00,601187,2025-01-02,11:30:00,15,5.6,5.61,5.58,5.58,468700,2621408.0
2025-01-02 13:15:00,601187,2025-01-02,13:15:00,15,5.58,5.59,5.55,5.56,2040500,11350264.0
2025-01-02 13:30:00,601187,2025-01-02,13:30:00,15,5.55,5.56,5.52,5.53,1359800,7535624.0
2025-01-02 13:45:00,601187,2025-01-02,13:45:00,15,5.53,5.54,5.51,5.53,1564500,8638320.0
2025-01-02 14:00:00,601187,2025-01-02,14:00:00,15,5.52,5.53,5.5,5.52,1944000,10718488.0
2025-01-02 14:15:00,601187,2025-01-02,14:15:00,15,5.52,5.52,5.46,5.47,2272600,12477128.0
2025-01-02 14:30:00,601187,2025-01-02,14:30:00,15,5.47,5.5,5.46,5.49,1272900,6962384.0
2025-01-02 14:45:00,601187,2025-01-02,14:45:00,15,5.48,5.49,5.42,5.42,2436400,13269288.0
2025-01-02 15:00:00,601187,2025-01-02,15:00:00,15,5.42,5.45,5.42,5.45,2259300,12282096.0
2025-01-03 09:45:00,601187,2025-01-03,09:45:00,15,5.45,5.52,5.42,5.45,3280400,17913301.0
2025-01-03 10:00:00,601187,2025-01-03,10:00:00,15,5.44,5.48,5.43,5.45,1835800,10008098.0
2025-01-03 10:15:00,601187,2025-01-03,10:15:00,15,5.44,5.46,5.41,5.44,1299500,7062336.0
2025-01-03 10:30:00,601187,2025-01-03,10:30:00,15,5.43,5.46,5.43,5.46,782600,4265772.0
2025-01-03 10:45:00,601187,2025-01-03,10:45:00,15,5.46,5.47,5.43,5.44,652500,3557992.0
2025-01-03 11:00:00,601187,2025-01-03,11:00:00,15,5.44,5.44,5.42,5.43,473700,2572908.0
2025-01-03 11:15:00,601187,2025-01-03,11:15:00,15,5.42,5.44,5.42,5.44,419700,2277968.0
2025-01-03 11:30:00,601187,2025-01-03,11:30:00,15,5.44,5.44,5.4,5.4,1424400,7717840.0
2025-01-03 13:15:00,601187,2025-01-03,13:15:00,15,5.4,5.41,5.38,5.4,1182500,6379000.0
